activity_product_uuid,ei_activity,geo,sec,isic_class,ref_prod,unit,co2_footprint,emissions_unit
0a242b09-772a-5edf-8e82-9cb4ba52a258_ae39ee61-d4d0-4cce-93b4-0745344da5fa,"transport, freight, lorry 7.5-16 metric ton, EURO3",RoW,Transport,4923:Freight transport by road,"transport, freight, lorry 7.5-16 metric ton, EURO3",metric ton*km,4.332157942906434,per product unit
be06d25c-73dc-55fb-965b-0f300453e380_98b48ff2-2200-4b08-9dec-9c7c0e3585bc,"treatment of residues, MSWI-WWT, WW from maize starch production, residual material landfill",GLO,Waste Treatment & Recycling,3822:Treatment and disposal of hazardous waste,"residues, MSWI-WWT, WW from maize starch production",kg,3.9444876674694354,per product unit
977d997e-c257-5033-ba39-d0edeeef4ba2_0ace02fa-eca5-482d-a829-c18e46a52db4,"market group for transport, freight train",RER,Transport,4912:Freight rail transport,"transport, freight train",metric ton*km,6.256538245835008,per product unit
5fd7fca0-0700-51fd-877a-72b5b6ff8868_9219c94a-7a25-4a4c-b25d-c096fdd50d47,"treatment of waste polyvinylchloride, unsanitary landfill, moist infiltration class (300mm)",GLO,Waste Treatment & Recycling,3821:Treatment and disposal of non-hazardous waste,waste polyvinylchloride,kg,6.988419620233279,per product unit
ebb8475e-ff57-5e4e-937b-b5788186a5ca_ccee034c-8b6c-40d6-ac36-4c70c4623efa,"market for ventilation duct, steel, 100x50 mm",GLO,Infrastructure & Machinery,2819:Manufacture of other general-purpose machinery,"ventilation duct, steel, 100x50 mm",m,7.834485110244321,per product unit
2f7b77a7-1556-5c1b-b0aa-c4534ddc8885_38d493e9-6feb-4c66-86eb-2253ef8ee54d,"market for sodium silicate, without water, in 37% solution state",RER,Chemicals,2011:Manufacture of basic chemicals,"sodium silicate, without water, in 37% solution state",kg,5.973800362505102,per product unit
edd290d2-a5b0-56ec-aaf3-ad71ce5f9403_095528f2-b554-4cfb-9dc8-764b50bcbd7b,"transport, passenger car, large size, natural gas, EURO 4",RoW,Transport,4922:Other passenger land transport,"transport, passenger car, large size, natural gas, EURO 4",km,8.999849533588238,per product unit
d2c0844e-6e5b-52a3-802c-b1a9c162b9b1_fc458a34-8eed-427a-a5e0-c8e930422250,"market for mineral supplement, for beef cattle",GLO,Agriculture & Animal Husbandry,1080:Manufacture of prepared animal feeds,"mineral supplement, for beef cattle",kg,5.099872616947685,per product unit
abdb78ee-ddb9-5552-9c4c-ed5b8b2ea11c_5a337107-6bdb-4280-84d4-15a4993c51c9,citric acid production,RNA,Chemicals,2011:Manufacture of basic chemicals,citric acid,kg,7.501632173751284,per product unit
16e1dc41-2793-521c-b4c9-811cbaa6d36a_7655baa9-ac88-4f13-a1e7-77bd2059a7a6,sodium ethyl xanthate production,ZA,Chemicals,2011:Manufacture of basic chemicals,sodium ethyl xanthate,kg,6.604562212992571,per product unit
8496d0e1-83eb-5a8d-8290-3394bb282f7e_1c2b2eb7-cdc9-4375-9fee-feb975ba4f64,stone meal production,CH,Resource Extraction; Minerals; Agriculture & Animal Husbandry,0891:Mining of chemical and fertilizer minerals,stone meal,kg,4.365563271188626,per product unit
ae3ff8b8-2fca-5654-a7c6-1dcaf31d7c32_d3a29af5-314a-4659-a574-6bfd53a6bde0,hydroformylation of butene,RER,Chemicals,2011:Manufacture of basic chemicals,1-pentanol,kg,6.903651482572964,per product unit
1636162a-eac4-59da-9430-96ad54cbdafa_6eb8dc11-5ac4-4538-a1f1-95463b640ea5,"market for energy and auxilliary inputs, metal working factory",RoW,Metals,259:Manufacture of other fabricated metal products; metalworking service activit,"energy and auxilliary inputs, metal working factory",kg,5.39631744413926,per product unit
1899920a-4828-5d6d-b601-6ccf625a2b15_ca8ec222-fdaa-4c97-849e-130f1256593f,"market for used lorry, 16 metric ton",GLO,Waste Treatment & Recycling,3830:Materials recovery,"used lorry, 16 metric ton",unit,5.1465923213707425,per product unit
