scenario,region,ipr_sector,ipr_subsector,year,value,co2_reductions
1.5C Required Policy Scenario,Western Europe (WEU),Power,NA,2020,550.469870665597,0
1.5C Required Policy Scenario,Western Europe (WEU),Power,NA,2030,47.3894183436505,0.913910967940262
1.5C Required Policy Scenario,Western Europe (WEU),Power,NA,2040,-60.5859092131907,1.11006217132272
1.5C Required Policy Scenario,Western Europe (WEU),Power,NA,2050,-175.447229747225,1.31872267511223
1.5C Required Policy Scenario,Western Europe (WEU),Buildings,NA,2020,397.448054282436,0
1.5C Required Policy Scenario,Western Europe (WEU),Buildings,NA,2030,188.714397511807,0.5251847493567
1.5C Required Policy Scenario,Western Europe (WEU),Buildings,NA,2040,13.0514154258893,0.967161959191239
1.5C Required Policy Scenario,Western Europe (WEU),Buildings,NA,2050,0,1
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Iron and Steel,2020,70.2111973876493,0
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Iron and Steel,2030,30.5464283692731,0.564935088620972
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Iron and Steel,2040,12.7604792827231,0.81825578030994
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Iron and Steel,2050,0.575857827539027,0.991798205286835
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Non-metallic minerals,2020,174.740420194887,0
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Non-metallic minerals,2030,116.127162645616,0.335430448684396
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Non-metallic minerals,2040,53.1712804591192,0.6957127583886
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Non-metallic minerals,2050,36.728556779251,0.789810756216061
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Chemicals,2020,82.6013641675424,0
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Chemicals,2030,55.566031180376,0.327298867998475
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Chemicals,2040,22.5908162853033,0.726507951618307
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Chemicals,2050,1.19560106459843,0.985525649889106
