scenario,region,weo_product,weo_flow,year,value,co2_reductions
Stated Policies Scenario,World,Total,Total energy supply,2020,31904,0
Stated Policies Scenario,World,Total,Total energy supply,2030,33134.7,-0.0385751
Stated Policies Scenario,World,Total,Total energy supply,2040,30799.9,0.034606946
Stated Policies Scenario,World,Total,Total energy supply,2050,28946.4,0.092703109
Stated Policies Scenario,World,Coal,Total energy supply,2020,14335.2,0
Stated Policies Scenario,World,Coal,Total energy supply,2030,13695,0.0446593
Stated Policies Scenario,World,Coal,Total energy supply,2040,11553.4,0.194053798
Stated Policies Scenario,World,Coal,Total energy supply,2050,9863.04,0.311970534
Stated Policies Scenario,World,Oil,Total energy supply,2020,10193.7,0
Stated Policies Scenario,World,Oil,Total energy supply,2030,11411.5,-0.119465945
Stated Policies Scenario,World,Oil,Total energy supply,2040,11247.9,-0.103416816
Stated Policies Scenario,World,Oil,Total energy supply,2050,11094.2,-0.088338876
Stated Policies Scenario,World,Natural gas,Total energy supply,2020,7161.51,0
Stated Policies Scenario,World,Natural gas,Total energy supply,2030,7773.69,-0.085481972
Stated Policies Scenario,World,Natural gas,Total energy supply,2040,7674.74,-0.071665054
Stated Policies Scenario,World,Natural gas,Total energy supply,2050,7628.53,-0.065212504
Stated Policies Scenario,World,Bioenergy and waste,Total energy supply,2020,213.41,0
Stated Policies Scenario,World,Bioenergy and waste,Total energy supply,2030,254.37,-0.191931025
Stated Policies Scenario,World,Bioenergy and waste,Total energy supply,2040,323.65,-0.51656436
Stated Policies Scenario,World,Bioenergy and waste,Total energy supply,2050,360.38,-0.688674383
Stated Policies Scenario,World,Total,Biofuels production and direct air capture,2020,0.81,0
Stated Policies Scenario,World,Total,Biofuels production and direct air capture,2030,8.74,-9.790123457
Stated Policies Scenario,World,Total,Biofuels production and direct air capture,2040,27.79,-33.30864198
Stated Policies Scenario,World,Total,Biofuels production and direct air capture,2050,59.28,-72.18518519
Stated Policies Scenario,World,Total,Power sector inputs,2020,13502,0
Stated Policies Scenario,World,Total,Power sector inputs,2030,12758.6,0.05505851
Stated Policies Scenario,World,Total,Power sector inputs,2040,10676.3,0.209280107
Stated Policies Scenario,World,Total,Power sector inputs,2050,9307.74,0.310639905
Stated Policies Scenario,World,Coal,Power sector inputs,2020,9750.4,0
